name,location,will_split,wont_split
O'Reilly Inc,21428 Gateway Junction,322131,101299
"Pollich Medhurst and Vandervort",6706 Dayton Street,77175,918857
Hartmann LLC,0949 Truax Circle,923674,729748
Doyle Group,2 Gulseth Parkway,540286,268369
Gorczany LLC,4 Weeping Birch Junction,242215,228132
Dicki and Sons,98524 Maple Hill,140017,819354
Keebler-Senger,700 Bellgrove Alley,594200,613765
Bode-Hudson,1 Erie Junction,87633,998524
Zieme-Hilpert,8563 2nd Avenue,360625,580537
Greenfelder Inc,945 Vernon Hill,81123,408776
Bechtelar Group,3461 Morning Court,913065,580263
"Bernier Kemmer and Dicki",58 Mallory Drive,22079,682574
Wehner Inc,039 Charing Cross Avenue,797994,678522
Reinger LLC,31 Pankratz Place,200803,934723
Stracke LLC,92232 Lerdahl Place,172120,301392
Shanahan-Fay,285 Upham Road,247564,970081
Veum Group,212 Sachtjen Junction,419212,374453
Mante Group,8327 Stuart Terrace,100518,737273
Rogahn-Sauer,5467 Corry Alley,879453,650095
Schowalter-Jacobi,3822 Farmco Avenue,812041,947289
Dooley LLC,58520 Thompson Parkway,612340,598317
"Kerluke Ryan and Breitenberg",9 Homewood Parkway,94464,25134
Durgan Inc,87 Morning Junction,175396,610982
"Mueller Frami and Greenholt",9 American Ash Pass,994422,801071
"Corwin Berge and Larkin",29 Reindahl Parkway,497118,175657
"Price Lowe and Rosenbaum",7 Haas Circle,869981,455427
Steuber-Stroman,91 Grim Terrace,130738,495432
Langworth LLC,63 Browning Crossing,659701,332247
Ledner-Pacocha,7 Warbler Parkway,814449,962921
Pfeffer-Bechtelar,35 Jana Plaza,818424,413528
Cartwright-Sporer,291 Ronald Regan Junction,131267,443545
Fahey and Sons,7926 Lunder Pass,59220,206495
"Leffler Hickle and Reinger",52 Esker Court,551829,549954
MacGyver and Sons,4053 Alpine Hill,808652,84212
Kuhic LLC,72 Larry Center,977271,677966
"Kemmer Powlowski and Walker",37 Vahlen Center,637272,705687
Erdman LLC,60242 Sugar Terrace,838264,520150
"Champlin Gleichner and McLaughlin",075 Onsgard Street,524737,677769
Ankunding-O'Connell,80851 Delaware Parkway,735852,900143
Schulist-Hane,4560 Bunting Junction,48289,803164
"Abernathy Metz and Crooks",8 Florence Plaza,515051,617463
"Kohler Hilpert and Ondricka",9276 Gale Lane,317268,790691
Emmerich LLC,4 Nevada Center,553684,130748
Miller-Vandervort,87397 Welch Alley,795172,879963
Orn and Sons,44 Harper Street,893125,904210
Wilkinson-Kshlerin,36835 Mallard Alley,562912,700034
Weber and Sons,1 Troy Way,425422,233347
Kunze-Botsford,679 Helena Park,257766,211888
Bosco LLC,4 Shasta Crossing,572990,122392
Connelly Group,11417 Old Gate Point,994695,620314
Batz and Sons,33676 Tennyson Plaza,137825,414354
"Reilly Connelly and Legros",897 Glacier Hill Trail,878687,44240
Effertz Inc,6 Hazelcrest Way,539192,909607
Dach-Towne,8520 School Pass,843811,201808
Hilpert LLC,8 Dottie Place,559406,990616
"Boyle Schowalter and Lemke",6456 Parkside Trail,534942,55333
Lehner and Sons,32421 Grayhawk Lane,851460,306566
"Bartoletti Glover and Schneider",56418 Toban Center,968466,536144
Rempel LLC,0064 Mesta Park,761122,146156
"Emard Lueilwitz and Beer",85486 Manufacturers Drive,143434,750029
"Hegmann Schneider and Jenkins",21 Stone Corner Terrace,875163,873466
"Leannon Towne and Keeling",8 Stang Point,761212,905077
Kovacek Inc,7310 Sundown Crossing,59813,368733
Wilderman-Green,23173 Homewood Junction,514777,39708
Carroll LLC,78 Debs Avenue,280468,794478
"Huels Osinski and Stamm",09 Claremont Plaza,770252,454450
Brown Inc,7141 Holmberg Way,891480,310154
"Abernathy Gutmann and Mohr",4070 Hansons Parkway,581108,916902
Wunsch-Yundt,9 Sherman Avenue,58124,553378
Runolfsson-Steuber,703 Saint Paul Drive,25914,438502
"Dach MacGyver and Berge",6 Mccormick Drive,821912,333271
"Kris Cronin and Pfannerstill",8304 Chive Circle,828037,699619
Grady Group,80270 Hagan Hill,339398,415252
Corwin-Kling,85 Mandrake Trail,918496,796997
Steuber-Yost,426 Rigney Drive,663634,923274
Rath-Heidenreich,0081 Mallard Junction,514578,943208
Lubowitz-Gislason,65 Gulseth Terrace,499899,218265
McCullough LLC,9 Pierstorff Way,656571,218105
Heaney-Weimann,30 David Avenue,460184,563101
Smitham-Dicki,23 Charing Cross Street,249503,356234
Lehner LLC,6 Trailsway Plaza,94846,706275
Tromp and Sons,597 Fuller Center,906083,438820
